INSTRUMENT,VEGETATION,LOCATION,REPLICATE,SC_HEIGHT,FILENAME,NOTES,definition,NDVI
Unispec-SC,Heath,H1,1,1,area match1400001.spu,NA,ToolikEDC,0.5977464549573056
Unispec-SC,Heath,H1,2,1,area match1400002.spu,NA,Greenseeker,0.5925096020917693
Unispec-SC,Heath,H1,2,1,area match1400002.spu,NA,MODIS,0.6063369273344938
Unispec-SC,Heath,H1,2,1,area match1400002.spu,NA,RapidSCAN,0.6146547913105039
Unispec-SC,Heath,H1,2,1,area match1400002.spu,NA,ToolikEDC,0.5978136641966374
Unispec-SC,Heath,H1,3,1,area match1400003.spu,NA,Greenseeker,0.592259071113104
Unispec-SC,Heath,H1,3,1,area match1400003.spu,NA,MODIS,0.60658858175388
Unispec-SC,Heath,H1,3,1,area match1400003.spu,NA,RapidSCAN,0.6147664894737495
Unispec-SC,Heath,H1,3,1,area match1400003.spu,NA,ToolikEDC,0.5979441284924575
Unispec-SC,Heath,H1,4,1,area match1400004.spu,NA,Greenseeker,0.5929161328592002
Unispec-SC,Heath,H1,4,1,area match1400004.spu,NA,MODIS,0.6068678742488023
Unispec-SC,Heath,H1,4,1,area match1400004.spu,NA,RapidSCAN,0.6146460175626367
Unispec-SC,Heath,H1,4,1,area match1400004.spu,NA,ToolikEDC,0.598171842819224
Unispec-SC,Heath,H1,5,1,area match1400005.spu,NA,Greenseeker,0.5932266524995498
Unispec-SC,Heath,H1,5,1,area match1400005.spu,NA,MODIS,0.6068447258818943
Unispec-SC,Heath,H1,5,1,area match1400005.spu,NA,RapidSCAN,0.6151540634366173
Unispec-SC,Heath,H1,5,1,area match1400005.spu,NA,ToolikEDC,0.5982288925674393
Unispec-SC,Heath,H1,6,1,area match1400006.spu,NA,Greenseeker,0.5930163770616921
Unispec-SC,Heath,H1,6,1,area match1400006.spu,NA,MODIS,0.6066609079655669
Unispec-SC,Heath,H1,6,1,area match1400006.spu,NA,RapidSCAN,0.6148249836902917
Unispec-SC,Heath,H1,6,1,area match1400006.spu,NA,ToolikEDC,0.5982233820681955
Unispec-SC,Heath,H1,7,1,area match1400007.spu,NA,Greenseeker,0.5927736020762413
Unispec-SC,Heath,H1,7,1,area match1400007.spu,NA,MODIS,0.6067073031645964
Unispec-SC,Heath,H1,7,1,area match1400007.spu,NA,RapidSCAN,0.6152454692471575
Unispec-SC,Heath,H1,7,1,area match1400007.spu,NA,ToolikEDC,0.5982435195290654
Unispec-SC,Heath,H1,8,1,area match1400008.spu,NA,Greenseeker,0.5932294679115827
Unispec-SC,Heath,H1,8,1,area match1400008.spu,NA,MODIS,0.6070037547420052
Unispec-SC,Heath,H1,8,1,area match1400008.spu,NA,RapidSCAN,0.6147681669444959
Unispec-SC,Heath,H1,8,1,area match1400008.spu,NA,ToolikEDC,0.5983800273941448
Unispec-SC,Heath,H1,9,1,area match1400009.spu,NA,Greenseeker,0.5930360287935785
Unispec-SC,Heath,H1,9,1,area match1400009.spu,NA,MODIS,0.6068558891230292
Unispec-SC,Heath,H1,9,1,area match1400009.spu,NA,RapidSCAN,0.6157467341414616
Unispec-SC,Heath,H1,9,1,area match1400009.spu,NA,ToolikEDC,0.598205314361272
Unispec-SC,Heath,H1,10,1,area match1400010.spu,NA,Greenseeker,0.5927589868228045
Unispec-SC,Heath,H1,10,1,area match1400010.spu,NA,MODIS,0.6069274833823215
Unispec-SC,Heath,H1,10,1,area match1400010.spu,NA,RapidSCAN,0.6148465019531613
Unispec-SC,Heath,H1,10,1,area match1400010.spu,NA,ToolikEDC,0.5984145368528693
Unispec-SC,Heath,H2,1,1,area match1600001.spu,NA,Greenseeker,0.6703171170961143
Unispec-SC,Heath,H2,1,1,area match1600001.spu,NA,MODIS,0.6864744941499424
Unispec-SC,Heath,H2,1,1,area match1600001.spu,NA,RapidSCAN,0.682539312347313
Unispec-SC,Heath,H2,1,1,area match1600001.spu,NA,ToolikEDC,0.6726273004041993
Unispec-SC,Heath,H2,2,1,area match1600002.spu,NA,Greenseeker,0.670318949124124
Unispec-SC,Heath,H2,2,1,area match1600002.spu,NA,MODIS,0.6864451254262466
Unispec-SC,Heath,H2,2,1,area match1600002.spu,NA,RapidSCAN,0.6818529750322834
Unispec-SC,Heath,H2,2,1,area match1600002.spu,NA,ToolikEDC,0.6725517097762044
Unispec-SC,Heath,H2,3,1,area match1600003.spu,NA,Greenseeker,0.6704966273335166
