WSG1_00031.spu,WSG1_00030.spu,
Wavelength,WSG1_00020.spu,WSG1_00021.spu
  (nm),7/13/2018 ,7/13/2018 
  time  ,:26:53 P,:27:14 P
temp C,SW,SW
,,
 997 , 0.290565 , 0.239439 
 998 , 0.290742 , 0.239129 
 999 , 0.290921 , 0.238821 
 1000 , 0.291141 , 0.238546 
 1001 , 0.291438 , 0.238301 
 1002 , 0.291609 , 0.238152 
 1003 , 0.291557 , 0.238176 
 1004 , 0.291384 , 0.238133 
 1005 , 0.291224 , 0.238108 
 1006 , 0.291266 , 0.238217 
 1007 , 0.291188 , 0.238589 
 1008 , 0.291083 , 0.239015 
 1009 , 0.290627 , 0.238685 
 1010 , 0.2901 , 0.237848 
 1011 , 0.289584 , 0.236765 
 1012 , 0.289242 , 0.235795 
 1013 , 0.2891 , 0.235031 
 1014 , 0.289018 , 0.234458 
 1015 , 0.288899 , 0.23396 
 1016 , 0.28864 , 0.233871 
 1017 , 0.288276 , 0.233503 
 1018 , 0.287893 , 0.233104 
 1019 , 0.2874 , 0.232356 
 1020 , 0.287157 , 0.231815 
 1021 , 0.287035 , 0.231362 
 1022 , 0.286946 , 0.230544 
 1023 , 0.28679 , 0.2296 
 1024 , 0.286475 , 0.228793 
 1025 , 0.285983 , 0.228027 
 1026 , 0.285194 , 0.227325 
 1027 , 0.284612 , 0.225888 
 1028 , 0.283994 , 0.224412 
 1029 , 0.2834 , 0.22372 
 1030 , 0.281859 , 0.223085 
 1031 , 0.279992 , 0.222437 
 1032 , 0.278638 , 0.221105 
 1033 , 0.278027 , 0.219497 
 1034 , 0.277991 , 0.217796 
 1035 , 0.277158 , 0.215844 
 1036 , 0.275288 , 0.213734 
 1037 , 0.272884 , 0.211873 
 1038 , 0.270419 , 0.209991 
 1039 , 0.268209 , 0.2085 
 1040 , 0.265923 , 0.206348 
 1041 , 0.263492 , 0.204004 
 1042 , 0.261827 , 0.202129 
 1043 , 0.260449 , 0.200433 
 1044 , 0.259151 , 0.198746 
 1045 , 0.257589 , 0.195654 
 1046 , 0.255777 , 0.191713 
 1047 , 0.253786 , 0.187759 
 1048 , 0.251706 , 0.183766 
 1049 , 0.24953 , 0.179939 
 1050 , 0.24619 , 0.175092 
 1051 , 0.242544 , 0.169987 
 1052 , 0.237152 , 0.165703 
 1053 , 0.232246 , 0.161317 
 1054 , 0.227274 , 0.15668 
 1055 , 0.222479 , 0.152164 
 1056 , 0.217579 , 0.147585 
 1057 , 0.21242 , 0.142814 
 1058 , 0.20756 , 0.138223 
 1059 , 0.203066 , 0.133862 
