Year,Site,Treatment,Block,Plot,Species,Relative Cover
2013,MAT,N,1,7,litter,1
2013,MAT,N,1,7,frost boil,0
2013,MAT,N,1,7,bare,0
2013,MAT,N,1,7,And pol,0
2013,MAT,N,1,7,Arc alp,0
2013,MAT,N,1,7,Bet nan,64.6
2013,MAT,N,1,7,Cal lap,0
2013,MAT,N,1,7,Car big,0
2013,MAT,N,1,7,Cas tet,0
2013,MAT,N,1,7,Emp nig,0
2013,MAT,N,1,7,Eri vag,0
2013,MAT,N,1,7,Led pal,3
2013,MAT,N,1,7,Ped lap,0
2013,MAT,N,1,7,Pol bis,0
2013,MAT,N,1,7,Rub cha,24.2
2013,MAT,N,1,7,Sal pul,1
2013,MAT,N,1,7,Vac uli,0
2013,MAT,N,1,7,Vac vit,0
2013,MAT,N,1,7,Tofieldia,0
2013,MAT,N,1,7,Car mic,0
2013,MAT,N,1,7,St. D. Bet.,6.1
2013,MAT,N,1,7,St. D. Sal pul,0
2013,MAT,N,1,7,vole litter,0
2013,MAT,N,1,8,moss,0
2013,MAT,N,1,8,lichen,0
2013,MAT,N,1,8,litter,0
2013,MAT,N,1,8,frost boil,0
2013,MAT,N,1,8,bare,0
2013,MAT,N,1,8,And pol,0
2013,MAT,N,1,8,Arc alp,0
2013,MAT,N,1,8,Bet nan,74.6
2013,MAT,N,1,8,Cal lap,0
2013,MAT,N,1,8,Car big,0
2013,MAT,N,1,8,Cas tet,0
2013,MAT,N,1,8,Emp nig,0
2013,MAT,N,1,8,Eri vag,0
2013,MAT,N,1,8,Led pal,0.6
2013,MAT,N,1,8,Ped lap,0
2013,MAT,N,1,8,Pol bis,0
2013,MAT,N,1,8,Rub cha,15.4
2013,MAT,N,1,8,Sal pul,2.4
2013,MAT,N,1,8,Vac uli,0
2013,MAT,N,1,8,Vac vit,0
2013,MAT,N,1,8,Tofieldia,0
2013,MAT,N,1,8,Car mic,0
2013,MAT,N,1,8,St. D. Bet.,7.1
2013,MAT,N,1,8,St. D. Sal pul,0
2013,MAT,N,1,8,vole litter,0
2013,MAT,P,1,1,moss,9
2013,MAT,P,1,1,lichen,0
2013,MAT,P,1,1,litter,15
2013,MAT,P,1,1,frost boil,0
2013,MAT,P,1,1,bare,0
2013,MAT,P,1,1,And pol,0
2013,MAT,P,1,1,Arc alp,0
2013,MAT,P,1,1,Bet nan,9
2013,MAT,P,1,1,Cal lap,0
2013,MAT,P,1,1,Car big,0
2013,MAT,P,1,1,Cas tet,0
2013,MAT,P,1,1,Emp nig,0.8
2013,MAT,P,1,1,Eri vag,3
2013,MAT,P,1,1,Led pal,16.5
2013,MAT,P,1,1,Ped lap,0
2013,MAT,P,1,1,Pol bis,0
2013,MAT,P,1,1,Rub cha,45.1
2013,MAT,P,1,1,Sal pul,0
2013,MAT,P,1,1,Vac uli,0
2013,MAT,P,1,1,Vac vit,1.5
2013,MAT,P,1,1,Tofieldia,0
2013,MAT,P,1,1,Car mic,0
2013,MAT,P,1,1,St. D. Bet.,0
2013,MAT,P,1,1,St. D. Sal pul,0
2013,MAT,P,1,1,vole litter,0
2013,MAT,P,1,2,moss,2.5
2013,MAT,P,1,2,lichen,0.6
2013,MAT,P,1,2,litter,11.4
2013,MAT,P,1,2,frost boil,0
2013,MAT,P,1,2,bare,0
2013,MAT,P,1,2,And pol,0
2013,MAT,P,1,2,Arc alp,0
2013,MAT,P,1,2,Bet nan,2.5
2013,MAT,P,1,2,Cal lap,0
2013,MAT,P,1,2,Car big,0
2013,MAT,P,1,2,Cas tet,3.8
2013,MAT,P,1,2,Emp nig,1.3
2013,MAT,P,1,2,Eri vag,2.5
2013,MAT,P,1,2,Led pal,19
2013,MAT,P,1,2,Ped lap,0
2013,MAT,P,1,2,Pol bis,0
2013,MAT,P,1,2,Rub cha,46.8
2013,MAT,P,1,2,Sal pul,0
2013,MAT,P,1,2,Vac uli,0.6
2013,MAT,P,1,2,Vac vit,8.9
2013,MAT,P,1,2,Tofieldia,0
2013,MAT,P,1,2,Car mic,0
2013,MAT,P,1,2,St. D. Bet.,0
2013,MAT,P,1,2,St. D. Sal pul,0
2013,MAT,P,1,2,vole litter,0
2013,MAT,P,1,3,moss,1.2
2013,MAT,P,1,3,lichen,0
2013,MAT,P,1,3,litter,7
2013,MAT,P,1,3,frost boil,0
2013,MAT,P,1,3,bare,0
2013,MAT,P,1,3,And pol,0
2013,MAT,P,1,3,Arc alp,0
2013,MAT,P,1,3,Bet nan,7
2013,MAT,P,1,3,Cal lap,0
2013,MAT,P,1,3,Car big,0.6
2013,MAT,P,1,3,Cas tet,0.6
2013,MAT,P,1,3,Emp nig,0.6
2013,MAT,P,1,3,Eri vag,9.3
2013,MAT,P,1,3,Led pal,19.8
2013,MAT,P,1,3,Ped lap,0.6
2013,MAT,P,1,3,Pol bis,0
2013,MAT,P,1,3,Rub cha,43
2013,MAT,P,1,3,Sal pul,2.3
2013,MAT,P,1,3,Vac uli,0
2013,MAT,P,1,3,Vac vit,8.1
2013,MAT,P,1,3,Tofieldia,0
2013,MAT,P,1,3,Car mic,0
2013,MAT,P,1,3,St. D. Bet.,0
2013,MAT,P,1,3,St. D. Sal pul,0
2013,MAT,P,1,3,vole litter,0
2013,MAT,P,1,4,moss,0.6
2013,MAT,P,1,4,lichen,0
2013,MAT,P,1,4,litter,7.7
2013,MAT,P,1,4,frost boil,0
2013,MAT,P,1,4,bare,0
2013,MAT,P,1,4,And pol,0.6
2013,MAT,P,1,4,Arc alp,0
2013,MAT,P,1,4,Bet nan,5.2
2013,MAT,P,1,4,Cal lap,0
2013,MAT,P,1,4,Car big,0
2013,MAT,P,1,4,Cas tet,0.6
2013,MAT,P,1,4,Emp nig,2.6
2013,MAT,P,1,4,Eri vag,2.6
2013,MAT,P,1,4,Led pal,12.9
2013,MAT,P,1,4,Ped lap,0
2013,MAT,P,1,4,Pol bis,0
2013,MAT,P,1,4,Rub cha,61.9
2013,MAT,P,1,4,Sal pul,0
2013,MAT,P,1,4,Vac uli,0
2013,MAT,P,1,4,Vac vit,5.2
2013,MAT,P,1,4,Tofieldia,0
2013,MAT,P,1,4,Car mic,0
2013,MAT,P,1,4,St. D. Bet.,0
2013,MAT,P,1,4,St. D. Sal pul,0
2013,MAT,P,1,4,vole litter,0
2013,MAT,P,1,5,moss,0.8
2013,MAT,P,1,5,lichen,0
2013,MAT,P,1,5,litter,11.4
2013,MAT,P,1,5,frost boil,0
2013,MAT,P,1,5,bare,0
2013,MAT,P,1,5,And pol,0
2013,MAT,P,1,5,Arc alp,0
2013,MAT,P,1,5,Bet nan,1.6
2013,MAT,P,1,5,Cal lap,0
2013,MAT,P,1,5,Car big,0.8
2013,MAT,P,1,5,Cas tet,1.6
2013,MAT,P,1,5,Emp nig,0.8
2013,MAT,P,1,5,Eri vag,1.6
2013,MAT,P,1,5,Led pal,9.8
2013,MAT,P,1,5,Ped lap,0
2013,MAT,P,1,5,Pol bis,0
2013,MAT,P,1,5,Rub cha,39
2013,MAT,P,1,5,Sal pul,0
2013,MAT,P,1,5,Vac uli,1.6
2013,MAT,P,1,5,Vac vit,30.9
2013,MAT,P,1,5,Tofieldia,0
2013,MAT,P,1,5,Car mic,0
2013,MAT,P,1,5,St. D. Bet.,0
2013,MAT,P,1,5,St. D. Sal pul,0
2013,MAT,P,1,5,vole litter,0
2013,MAT,P,1,6,moss,2.2
2013,MAT,P,1,6,lichen,0
2013,MAT,P,1,6,litter,8.9
2013,MAT,P,1,6,frost boil,0
2013,MAT,P,1,6,bare,0
2013,MAT,P,1,6,And pol,0
2013,MAT,P,1,6,Arc alp,0
2013,MAT,P,1,6,Bet nan,1.1
2013,MAT,P,1,6,Cal lap,0
2013,MAT,P,1,6,Car big,0
2013,MAT,P,1,6,Cas tet,1.1
2013,MAT,P,1,6,Emp nig,2.2
2013,MAT,P,1,6,Eri vag,8.9
2013,MAT,P,1,6,Led pal,7.8
2013,MAT,P,1,6,Ped lap,0
2013,MAT,P,1,6,Pol bis,0
2013,MAT,P,1,6,Rub cha,56.7
2013,MAT,P,1,6,Sal pul,0
2013,MAT,P,1,6,Vac uli,0
2013,MAT,P,1,6,Vac vit,11.1
2013,MAT,P,1,6,Tofieldia,0
2013,MAT,P,1,6,Car mic,0
2013,MAT,P,1,6,St. D. Bet.,0
2013,MAT,P,1,6,St. D. Sal pul,0
2013,MAT,P,1,6,vole litter,0
2013,MAT,P,1,7,moss,8
2013,MAT,P,1,7,lichen,0
2013,MAT,P,1,7,litter,6.7
2013,MAT,P,1,7,frost boil,0
2013,MAT,P,1,7,bare,0
2013,MAT,P,1,7,And pol,0
2013,MAT,P,1,7,Arc alp,0
2013,MAT,P,1,7,Bet nan,10.7
2013,MAT,P,1,7,Cal lap,0
2013,MAT,P,1,7,Car big,0
2013,MAT,P,1,7,Cas tet,6.7
2013,MAT,P,1,7,Emp nig,0.7
2013,MAT,P,1,7,Eri vag,2.7
2013,MAT,P,1,7,Led pal,18.7
2013,MAT,P,1,7,Ped lap,0
2013,MAT,P,1,7,Pol bis,0
2013,MAT,P,1,7,Rub cha,29.3
2013,MAT,P,1,7,Sal pul,0
2013,MAT,P,1,7,Vac uli,0
2013,MAT,P,1,7,Vac vit,16
2013,MAT,P,1,7,Tofieldia,0
