JUN24SHB100024.spu,JUN24SHB100023.spu,JUN24SHB100022.spu,
Wavelength,JUN24SHB100025.spu,JUN24SHB100026.spu,JUN24SHB100027.spu,JUN24SHB100028.spu,JUN24SHB100029.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,42:33 PM,42:43 PM,42:48 PM,42:55 PM,43:02 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 618 , 0.041327 , 0.033358 , 0.051045 , 0.047151 , 0.023755 
 619 , 0.041028 , 0.033149 , 0.050909 , 0.046941 , 0.02366 
 620 , 0.040728 , 0.03294 , 0.050774 , 0.046727 , 0.02357 
 621 , 0.040526 , 0.032759 , 0.050654 , 0.04659 , 0.023494 
 622 , 0.040374 , 0.032594 , 0.050549 , 0.046494 , 0.023427 
 623 , 0.040222 , 0.032424 , 0.050439 , 0.046392 , 0.023359 
 624 , 0.040057 , 0.032294 , 0.050391 , 0.046317 , 0.023334 
 625 , 0.039868 , 0.03224 , 0.050445 , 0.046299 , 0.02339 
 626 , 0.039671 , 0.032182 , 0.050501 , 0.046278 , 0.023447 
 627 , 0.039478 , 0.032125 , 0.050553 , 0.046257 , 0.023504 
 628 , 0.039423 , 0.032073 , 0.050541 , 0.046253 , 0.023479 
 629 , 0.03937 , 0.032022 , 0.050527 , 0.04625 , 0.023448 
 630 , 0.039322 , 0.031976 , 0.050514 , 0.046247 , 0.023418 
 631 , 0.03929 , 0.031936 , 0.050576 , 0.04618 , 0.023378 
 632 , 0.039267 , 0.031895 , 0.050679 , 0.046073 , 0.023332 
 633 , 0.039244 , 0.031859 , 0.050783 , 0.045964 , 0.023285 
 634 , 0.039149 , 0.031779 , 0.050799 , 0.045863 , 0.023257 
 635 , 0.038908 , 0.031618 , 0.050644 , 0.04579 , 0.023267 
 636 , 0.038662 , 0.03146 , 0.050485 , 0.045713 , 0.023275 
 637 , 0.038415 , 0.031303 , 0.05032 , 0.04564 , 0.023288 
 638 , 0.038205 , 0.031068 , 0.050125 , 0.045425 , 0.023238 
 639 , 0.037996 , 0.030835 , 0.049933 , 0.0452 , 0.02318 
 640 , 0.03779 , 0.030601 , 0.049746 , 0.044974 , 0.023127 
 641 , 0.037479 , 0.030319 , 0.049417 , 0.044679 , 0.023055 
 642 , 0.037111 , 0.030016 , 0.049017 , 0.044343 , 0.022966 
 643 , 0.036736 , 0.029708 , 0.048615 , 0.044006 , 0.022882 
 644 , 0.036346 , 0.029386 , 0.048186 , 0.043657 , 0.022786 
 645 , 0.035924 , 0.029022 , 0.047673 , 0.043275 , 0.022683 
