  time  ,:22:36 A,:22:54 A,:23:04 A,:23:12 A,:23:22 A,:24:01 A,:24:13 A,:24:21 A,:24:29 A,:24:41 A,:25:14 A,:25:33 A,:25:43 A,:25:56 A,:26:08 A,:26:44 A,:26:57 A,:27:05 A,:27:15 A,:27:25 A,:27:48 A,:27:57 A,:28:06 A,:28:16 A,:28:25 A,:28:48 A,:28:58 A,:29:10 A,:29:19 A,:29:33 A,:30:02 A,:30:14 A,:30:22 A,:30:34 A,:30:46 A,:31:13 A,:31:28 A,:31:38 A,:31:47 A,:31:58 A,:32:57 A,:33:09 A,:33:21 A,:33:32 A,:33:43 A,:34:21 A,:34:31 A,:34:42 A,:34:55 A,:35:07 A,:35:42 A,:35:51 A,:36:04 A,:36:14 A,:36:23 A,:36:50 A,:37:01 A,:37:14 A,:37:25 A,:37:34 A,:38:00 A,:38:11 A,:38:28 A,:38:38 A,:38:49 A,:39:13 A,:39:25 A,:39:43 A,:39:54 A,:40:08 A,:40:39 A,:40:51 A,:41:01 A,:41:11 A,:41:21 A,:42:16 A,:42:27 A,:42:39 A,:42:52 A,:43:04 A,:45:00 A,:45:13 A,:45:25 A,:45:39 A,:45:57 A,:46:39 A,:46:52 A,:47:06 A,:47:17 A,:47:26 A,:47:55 A,:48:07 A,:48:19 A,:48:31 A,:48:40 A,:49:15 A,:49:26 A,:49:35 A,:49:47 A,:50:00 A,:50:28 A,:50:37 A,:50:47 A,:50:57 A,:51:09 A,:51:38 A,:51:50 A,:51:59 A,:52:09 A,:52:18 A,:52:45 A,:52:55 A,:53:05 A,:53:17 A,:53:28 A,:54:01 A,:54:12 A,:54:23 A,:54:31 A,:54:41 A,:00:16 P,:00:27 P,:00:37 P,:00:47 P,:00:57 P,:01:25 P,:01:37 P,:01:48 P,:01:59 P,:02:09 P,:02:38 P,:02:52 P,:03:01 P,:03:10 P,:03:20 P,:03:50 P,:04:02 P,:04:13 P,:04:24 P,:04:34 P,:05:04 P,:05:14 P,:05:23 P,:05:32 P,:05:40 P,:06:09 P,:06:28 P,:06:39 P,:06:50 P,:07:00 P,:07:31 P,:07:41 P,:07:52 P,:08:03 P,:08:13 P,:08:42 P,:08:53 P,:09:05 P,:09:17 P,:09:38 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.028268 , 0.032379 , 0.027781 , 0.031051 , 0.029089 , 0.025238 , 0.02487 , 0.035575 , 0.024805 , 0.029089 , 0.049087 , 0.047488 , 0.032785 , 0.074216 , 0.022626 , 0.050917 , 0.050077 , 0.038892 , 0.044133 , 0.048007 , 0.058569 , 0.046497 , 0.041814 , 0.042178 , 0.03765 , 0.046931 , 0.03974 , 0.047949 , 0.042461 , 0.048816 , 0.045147 , 0.036884 , 0.044953 , 0.039883 , 0.044299 , 0.06146 , 0.050964 , 0.056146 , 0.055318 , 0.063759 , 0.068368 , 0.045526 , 0.044346 , 0.07833 , 0.058584 , 0.068848 , 0.066305 , 0.06634 , 0.068662 , 0.062482 , 0.057833 , 0.06314 , 0.073431 , 0.069255 , 0.056754 , 0.065907 , 0.060415 , 0.080622 , 0.064579 , 0.079174 , 0.068864 , 0.067807 , 0.067346 , 0.065183 , 0.048657 , 0.071805 , 0.083114 , 0.07189 , 0.08155 , 0.080312 , 0.071476 , 0.092805 , 0.070168 , 0.097399 , 0.085761 , 0.073717 , 0.065299 , 0.058851 , 0.076445 , 0.084689 , 0.089535 , 0.077579 , 0.07775 , 0.087735 , 0.077479 , 0.085072 , 0.079418 , 0.068132 , 0.08205 , 0.05877 , 0.097039 , 0.080954 , 0.082533 , 0.071836 , 0.069781 , 0.091671 , 0.067184 , 0.078268 , 0.081508 , 0.085831 , 0.097256 , 0.079162 , 0.09193 , 0.090529 , 0.099965 , 0.096114 , 0.090514 , 0.074685 , 0.104873 , 0.072486 , 0.092197 , 0.090676 , 0.079766 , 0.09212 , 0.081686 , 0.105124 , 0.089848 , 0.074669 , 0.073636 , 0.080254 , 0.078888 , 0.084027 , 0.084689 , 0.084089 , 0.070578 , 0.080819 , 0.06624 , 0.094674 , 0.072629 , 0.068372 , 0.072254 , 0.098343 , 0.09748 , 0.057911 , 0.077951 , 0.07167 , 0.075795 , 0.063585 , 0.083586 , 0.070737 , 0.093486 , 0.073105 , 0.081016 , 0.073903 , 0.068999 , 0.074685 , 0.072567 , 0.05675 , 0.078563 , 0.059122 , 0.084306 , 0.077684 , 0.067292 , 0.065384 , 0.075013 , 0.0932 , 0.07722 , 0.090514 , 0.069781 , 0.048487 
 317 , 0.026742 , 0.035905 , 0.02965 , 0.028336 , 0.024814 , 0.025463 , 0.025292 , 0.03231 , 0.027712 , 0.024814 , 0.048708 , 0.047275 , 0.030891 , 0.068369 , 0.021575 , 0.046958 , 0.047934 , 0.030895 , 0.041149 , 0.044953 , 0.057306 , 0.04156 , 0.041738 , 0.039172 , 0.035131 , 0.043251 , 0.035532 , 0.045253 , 0.039291 , 0.042247 , 0.043722 , 0.034559 , 0.040633 , 0.036341 , 0.042732 , 0.058938 , 0.048663 , 0.051832 , 0.053575 , 0.055782 , 0.060144 , 0.043576 , 0.040103 , 0.072058 , 0.055197 , 0.06467 , 0.063352 , 0.064272 , 0.061396 , 0.060862 , 0.053656 , 0.055542 , 0.064687 , 0.065297 , 0.052449 , 0.060228 , 0.042676 , 0.073386 , 0.057738 , 0.069091 , 0.061473 , 0.060343 , 0.060447 , 0.059924 , 0.043998 , 0.065057 , 0.076517 , 0.061106 , 0.076608 , 0.071448 , 0.063449 , 0.083738 , 0.065238 , 0.093738 , 0.076085 , 0.066291 , 0.056079 , 0.053352 , 0.072107 , 0.075137 , 0.081786 , 0.06505 , 0.069394 , 0.081025 , 0.068338 , 0.077609 , 0.063906 , 0.063048 , 0.07947 , 0.053812 , 0.087873 , 0.071218 , 0.074206 , 0.063164 , 0.061483 , 0.084993 , 0.057362 , 0.06779 , 0.073285 , 0.076887 , 0.086775 , 0.073275 , 0.081008 , 0.08394 , 0.090812 , 0.085729 , 0.081671 , 0.068571 , 0.092273 , 0.065789 , 0.086771 , 0.082825 , 0.071225 , 0.079784 , 0.069935 , 0.094948 , 0.084568 , 0.067145 , 0.06672 , 0.073735 , 0.075238 , 0.079756 , 0.075137 , 0.077173 , 0.062648 , 0.075778 , 0.058063 , 0.089568 , 0.066298 , 0.064464 , 0.06377 , 0.09137 , 0.089759 , 0.054165 , 0.073257 , 0.061033 , 0.068125 , 0.055022 , 0.075147 , 0.061863 , 0.088438 , 0.068362 , 0.076688 , 0.063617 , 0.059231 , 0.068571 , 0.063446 , 0.051065 , 0.071176 , 0.050779 , 0.073976 , 0.072302 , 0.0593 , 0.060423 , 0.06642 , 0.082818 , 0.069181 , 0.081671 , 0.061483 , 0.032659 
 318 , 0.025399 , 0.037986 , 0.030872 , 0.026447 , 0.022064 , 0.025557 , 0.025383 , 0.030185 , 0.029684 , 0.021725 , 0.048441 , 0.047168 , 0.029469 , 0.064132 , 0.020784 , 0.044007 , 0.04618 , 0.025152 , 0.038604 , 0.042145 , 0.05559 , 0.037995 , 0.041388 , 0.036577 , 0.033301 , 0.040533 , 0.032373 , 0.04313 , 0.037067 , 0.037549 , 0.042392 , 0.032747 , 0.037226 , 0.033606 , 0.041397 , 0.056667 , 0.046924 , 0.048296 , 0.051815 , 0.049683 , 0.053816 , 0.041863 , 0.036535 , 0.067037 , 0.052321 , 0.061314 , 0.060994 , 0.062318 , 0.056021 , 0.059169 , 0.050225 , 0.049835 , 0.057972 , 0.061912 , 0.048929 , 0.055565 , 0.030521 , 0.067604 , 0.052382 , 0.060892 , 0.055299 , 0.054634 , 0.055182 , 0.055533 , 0.04084 , 0.060018 , 0.07123 , 0.053113 , 0.072415 , 0.06501 , 0.057196 , 0.076602 , 0.061085 , 0.090304 , 0.068494 , 0.060503 , 0.048495 , 0.04917 , 0.068152 , 0.067721 , 0.075532 , 0.05571 , 0.063059 , 0.075693 , 0.061516 , 0.071661 , 0.05242 , 0.059071 , 0.076922 , 0.049892 , 0.080764 , 0.063695 , 0.067563 , 0.056813 , 0.05533 , 0.079139 , 0.050161 , 0.059749 , 0.066885 , 0.070236 , 0.078474 , 0.068111 , 0.072488 , 0.078819 , 0.083469 , 0.077606 , 0.074572 , 0.063616 , 0.082557 , 0.060433 , 0.081762 , 0.07632 , 0.064351 , 0.070467 , 0.061009 , 0.086538 , 0.079855 , 0.061158 , 0.06112 , 0.068693 , 0.071984 , 0.076425 , 0.068107 , 0.071449 , 0.056797 , 0.071829 , 0.052093 , 0.085059 , 0.061193 , 0.06112 , 0.057316 , 0.085569 , 0.084036 , 0.051283 , 0.069248 , 0.053481 , 0.062311 , 0.048961 , 0.068535 , 0.055413 , 0.0839 , 0.064275 , 0.073216 , 0.05622 , 0.051805 , 0.064082 , 0.056898 , 0.046943 , 0.065681 , 0.044523 , 0.066261 , 0.067797 , 0.053034 , 0.056661 , 0.059866 , 0.075034 , 0.06341 , 0.074762 , 0.055182 , 0.021883 
 319 , 0.023601 , 0.033616 , 0.029168 , 0.027723 , 0.025926 , 0.025039 , 0.023495 , 0.032986 , 0.02841 , 0.022592 , 0.048424 , 0.047358 , 0.029376 , 0.065263 , 0.020726 , 0.043699 , 0.044984 , 0.026225 , 0.035995 , 0.037844 , 0.048865 , 0.038844 , 0.038804 , 0.033479 , 0.033701 , 0.040468 , 0.03196 , 0.042221 , 0.038197 , 0.038688 , 0.040232 , 0.032086 , 0.035801 , 0.032912 , 0.039907 , 0.053404 , 0.047147 , 0.045617 , 0.047953 , 0.048033 , 0.05188 , 0.039893 , 0.033191 , 0.064228 , 0.049341 , 0.059319 , 0.05959 , 0.058886 , 0.055983 , 0.055362 , 0.047577 , 0.049426 , 0.056208 , 0.058385 , 0.046631 , 0.051521 , 0.039064 , 0.063972 , 0.049763 , 0.055467 , 0.049025 , 0.053991 , 0.053945 , 0.051304 , 0.0436 , 0.060137 , 0.068178 , 0.053361 , 0.068024 , 0.06671 , 0.05527 , 0.07354 , 0.057108 , 0.084433 , 0.065365 , 0.058336 , 0.042773 , 0.048594 , 0.062049 , 0.065112 , 0.071514 , 0.055535 , 0.061374 , 0.07295 , 0.061382 , 0.068884 , 0.052481 , 0.056988 , 0.071355 , 0.047586 , 0.078532 , 0.061097 , 0.063704 , 0.057595 , 0.055299 , 0.071711 , 0.050387 , 0.057624 , 0.064323 , 0.069765 , 0.073574 , 0.061787 , 0.068881 , 0.076951 , 0.078788 , 0.074976 , 0.070115 , 0.06022 , 0.078956 , 0.057846 , 0.073868 , 0.070953 , 0.060185 , 0.069067 , 0.059718 , 0.080264 , 0.073386 , 0.057906 , 0.057661 , 0.067078 , 0.067499 , 0.075081 , 0.069089 , 0.066448 , 0.057763 , 0.07005 , 0.05294 , 0.079501 , 0.058154 , 0.057661 , 0.056421 , 0.080885 , 0.084031 , 0.050486 , 0.065023 , 0.057148 , 0.062157 , 0.05188 , 0.065645 , 0.056196 , 0.07723 , 0.059678 , 0.071514 , 0.058026 , 0.049968 , 0.064758 , 0.058499 , 0.047771 , 0.066098 , 0.044275 , 0.065197 , 0.064206 , 0.050572 , 0.056202 , 0.058755 , 0.074617 , 0.065095 , 0.072067 , 0.053945 , 0.031296 
 320 , 0.022197 , 0.030186 , 0.027797 , 0.028743 , 0.028948 , 0.024685 , 0.022017 , 0.035177 , 0.027409 , 0.023312 , 0.048431 , 0.04757 , 0.029338 , 0.066198 , 0.020733 , 0.043621 , 0.044069 , 0.027095 , 0.03394 , 0.034473 , 0.043551 , 0.039542 , 0.036787 , 0.031054 , 0.034065 , 0.040556 , 0.031694 , 0.0415 , 0.039184 , 0.03968 , 0.038508 , 0.031587 , 0.03467 , 0.032385 , 0.038773 , 0.05088 , 0.047225 , 0.043517 , 0.044934 , 0.046762 , 0.050404 , 0.038334 , 0.030571 , 0.062025 , 0.047019 , 0.057782 , 0.05858 , 0.056173 , 0.056069 , 0.05239 , 0.045517 , 0.049167 , 0.054826 , 0.055604 , 0.044781 , 0.048379 , 0.045777 , 0.06117 , 0.04776 , 0.05121 , 0.044092 , 0.053425 , 0.053038 , 0.048005 , 0.045907 , 0.060276 , 0.065808 , 0.05367 , 0.064604 , 0.068103 , 0.053737 , 0.071145 , 0.054002 , 0.079808 , 0.062917 , 0.056641 , 0.038313 , 0.048176 , 0.057262 , 0.063127 , 0.068371 , 0.05551 , 0.060177 , 0.070836 , 0.061282 , 0.066689 , 0.052606 , 0.055484 , 0.067017 , 0.045855 , 0.076826 , 0.059067 , 0.060702 , 0.0583 , 0.055393 , 0.065883 , 0.050646 , 0.055965 , 0.062371 , 0.069578 , 0.069772 , 0.056826 , 0.066057 , 0.075573 , 0.075144 , 0.072856 , 0.066661 , 0.057577 , 0.076171 , 0.055783 , 0.067674 , 0.066733 , 0.05695 , 0.067937 , 0.05871 , 0.075344 , 0.068317 , 0.055359 , 0.05493 , 0.065883 , 0.063988 , 0.074117 , 0.069876 , 0.062558 , 0.058453 , 0.068764 , 0.053615 , 0.075107 , 0.055794 , 0.05493 , 0.055695 , 0.077169 , 0.084201 , 0.049926 , 0.061713 , 0.060036 , 0.062038 , 0.054327 , 0.063406 , 0.056904 , 0.072008 , 0.056074 , 0.070147 , 0.05955 , 0.048574 , 0.065342 , 0.059813 , 0.048535 , 0.066432 , 0.044084 , 0.064516 , 0.061326 , 0.048626 , 0.055882 , 0.057892 , 0.074395 , 0.066486 , 0.069993 , 0.053038 , 0.038775 
 321 , 0.021075 , 0.027419 , 0.026666 , 0.02958 , 0.031377 , 0.024447 , 0.020828 , 0.03694 , 0.026599 , 0.02392 , 0.048453 , 0.047789 , 0.029338 , 0.066983 , 0.020787 , 0.043706 , 0.043349 , 0.027815 , 0.032274 , 0.031758 , 0.039235 , 0.040127 , 0.035167 , 0.029105 , 0.034399 , 0.040744 , 0.031528 , 0.040917 , 0.04006 , 0.040564 , 0.037093 , 0.0312 , 0.033747 , 0.031972 , 0.037887 , 0.048871 , 0.047206 , 0.041828 , 0.042509 , 0.045755 , 0.049254 , 0.037064 , 0.028458 , 0.060247 , 0.045162 , 0.056568 , 0.057849 , 0.053972 , 0.056237 , 0.050012 , 0.043867 , 0.04901 , 0.053711 , 0.053349 , 0.04325 , 0.045872 , 0.051188 , 0.05895 , 0.046191 , 0.047772 , 0.040108 , 0.052917 , 0.052356 , 0.045361 , 0.047882 , 0.06043 , 0.06392 , 0.054016 , 0.061864 , 0.069278 , 0.052483 , 0.069218 , 0.051511 , 0.076062 , 0.060948 , 0.055277 , 0.03474 , 0.047863 , 0.053406 , 0.061576 , 0.065841 , 0.055589 , 0.059324 , 0.069163 , 0.061202 , 0.064901 , 0.052768 , 0.054387 , 0.063546 , 0.044522 , 0.075486 , 0.057434 , 0.0583 , 0.05894 , 0.055565 , 0.061188 , 0.050921 , 0.05463 , 0.060849 , 0.069583 , 0.066745 , 0.052824 , 0.063783 , 0.074536 , 0.072231 , 0.071094 , 0.063915 , 0.055467 , 0.073956 , 0.054085 , 0.06268 , 0.06332 , 0.054368 , 0.066995 , 0.057902 , 0.071377 , 0.064229 , 0.053306 , 0.052718 , 0.06498 , 0.061159 , 0.073414 , 0.070516 , 0.059449 , 0.058943 , 0.067825 , 0.054167 , 0.071536 , 0.053908 , 0.052718 , 0.055085 , 0.074133 , 0.084486 , 0.049525 , 0.059046 , 0.062373 , 0.061943 , 0.056438 , 0.061627 , 0.057549 , 0.067813 , 0.053171 , 0.069017 , 0.060864 , 0.047489 , 0.06586 , 0.060914 , 0.049252 , 0.066702 , 0.043934 , 0.0641 , 0.05895 , 0.047043 , 0.055654 , 0.057201 , 0.074301 , 0.067659 , 0.068357 , 0.052356 , 0.044877 
 322 , 0.022764 , 0.027646 , 0.026244 , 0.029756 , 0.031852 , 0.025441 , 0.021414 , 0.0351 , 0.025024 , 0.023445 , 0.04525 , 0.04449 , 0.029318 , 0.064932 , 0.020473 , 0.044203 , 0.040248 , 0.027754 , 0.031411 , 0.031087 , 0.036409 , 0.037835 , 0.033463 , 0.028458 , 0.03256 , 0.03777 , 0.029767 , 0.039617 , 0.037377 , 0.039507 , 0.035014 , 0.029253 , 0.032551 , 0.030439 , 0.036625 , 0.046546 , 0.042503 , 0.039636 , 0.040055 , 0.043025 , 0.045797 , 0.034197 , 0.027404 , 0.057307 , 0.043356 , 0.051549 , 0.054067 , 0.051393 , 0.052095 , 0.045473 , 0.041401 , 0.044809 , 0.052208 , 0.050162 , 0.041267 , 0.04352 , 0.049425 , 0.055039 , 0.044041 , 0.044114 , 0.037625 , 0.048823 , 0.048643 , 0.042472 , 0.044153 , 0.055651 , 0.060614 , 0.051177 , 0.057878 , 0.064308 , 0.048516 , 0.064919 , 0.04554 , 0.069196 , 0.057052 , 0.050356 , 0.033621 , 0.044533 , 0.048052 , 0.056394 , 0.064641 , 0.052508 , 0.054108 , 0.064405 , 0.056005 , 0.06066 , 0.049626 , 0.050404 , 0.058789 , 0.042626 , 0.069922 , 0.053054 , 0.053923 , 0.054655 , 0.05081 , 0.0578 , 0.04649 , 0.051441 , 0.056275 , 0.064135 , 0.060731 , 0.049425 , 0.059247 , 0.070658 , 0.06744 , 0.06601 , 0.060841 , 0.050488 , 0.068496 , 0.049993 , 0.058152 , 0.05956 , 0.04987 , 0.062798 , 0.054497 , 0.066299 , 0.060413 , 0.049216 , 0.04905 , 0.061357 , 0.056903 , 0.069939 , 0.06614 , 0.056618 , 0.054525 , 0.062167 , 0.050436 , 0.066842 , 0.049944 , 0.047447 , 0.051557 , 0.070561 , 0.078521 , 0.045116 , 0.05543 , 0.060057 , 0.057761 , 0.052981 , 0.058962 , 0.053923 , 0.064612 , 0.050661 , 0.063193 , 0.057085 , 0.044799 , 0.061904 , 0.056696 , 0.046419 , 0.063167 , 0.041526 , 0.059938 , 0.056117 , 0.045464 , 0.052162 , 0.055648 , 0.068395 , 0.062504 , 0.066302 , 0.050464 , 0.042431 
 323 , 0.024953 , 0.028676 , 0.026092 , 0.029715 , 0.031734 , 0.026597 , 0.022408 , 0.032576 , 0.023496 , 0.022748 , 0.04171 , 0.04078 , 0.029304 , 0.062459 , 0.020115 , 0.044778 , 0.037008 , 0.027521 , 0.030887 , 0.031113 , 0.034495 , 0.035129 , 0.032012 , 0.028266 , 0.030435 , 0.034458 , 0.027868 , 0.038329 , 0.03415 , 0.038091 , 0.033087 , 0.027205 , 0.031484 , 0.028851 , 0.035466 , 0.044536 , 0.037243 , 0.037683 , 0.038009 , 0.040279 , 0.042297 , 0.031344 , 0.026819 , 0.054526 , 0.041888 , 0.046316 , 0.050088 , 0.049144 , 0.047469 , 0.041084 , 0.03912 , 0.040214 , 0.05085 , 0.047244 , 0.039489 , 0.041613 , 0.045991 , 0.051326 , 0.042098 , 0.040989 , 0.035987 , 0.044419 , 0.044711 , 0.040006 , 0.039503 , 0.050288 , 0.057475 , 0.04795 , 0.054214 , 0.058465 , 0.044442 , 0.060675 , 0.039596 , 0.062588 , 0.053272 , 0.045314 , 0.033376 , 0.040926 , 0.043161 , 0.051092 , 0.064058 , 0.049087 , 0.04858 , 0.059592 , 0.050261 , 0.056435 , 0.046102 , 0.046332 , 0.054487 , 0.040914 , 0.064113 , 0.048631 , 0.049729 , 0.049733 , 0.045511 , 0.055345 , 0.04148 , 0.04827 , 0.051636 , 0.058112 , 0.054914 , 0.046745 , 0.054842 , 0.066665 , 0.062931 , 0.060825 , 0.0582 , 0.045536 , 0.063038 , 0.045895 , 0.054485 , 0.056324 , 0.045593 , 0.058389 , 0.05094 , 0.061753 , 0.057315 , 0.04523 , 0.045575 , 0.057601 , 0.052956 , 0.066293 , 0.061111 , 0.054366 , 0.04945 , 0.056182 , 0.046143 , 0.062593 , 0.046076 , 0.042178 , 0.047802 , 0.067432 , 0.071858 , 0.040361 , 0.052151 , 0.05686 , 0.053147 , 0.048594 , 0.056521 , 0.049729 , 0.062219 , 0.048678 , 0.057005 , 0.052539 , 0.042122 , 0.057381 , 0.05171 , 0.043093 , 0.059177 , 0.038898 , 0.055468 , 0.053604 , 0.044146 , 0.048354 , 0.05415 , 0.061878 , 0.056478 , 0.064491 , 0.04857 , 0.038067 
 324 , 0.026687 , 0.029516 , 0.026005 , 0.029666 , 0.031661 , 0.027489 , 0.023215 , 0.030588 , 0.022291 , 0.022189 , 0.038895 , 0.037848 , 0.029295 , 0.060533 , 0.019821 , 0.045268 , 0.034449 , 0.027388 , 0.030449 , 0.031197 , 0.032952 , 0.033002 , 0.030847 , 0.028091 , 0.028769 , 0.031832 , 0.02638 , 0.037297 , 0.031607 , 0.036945 , 0.031575 , 0.025588 , 0.030658 , 0.027591 , 0.034524 , 0.042949 , 0.033067 , 0.036203 , 0.036394 , 0.038117 , 0.03952 , 0.029099 , 0.026362 , 0.052319 , 0.040767 , 0.04218 , 0.046951 , 0.047404 , 0.043812 , 0.037616 , 0.037309 , 0.036583 , 0.049785 , 0.045002 , 0.03813 , 0.040098 , 0.043288 , 0.048394 , 0.040554 , 0.038521 , 0.034708 , 0.040936 , 0.041612 , 0.03805 , 0.035832 , 0.04605 , 0.054979 , 0.045402 , 0.051347 , 0.053848 , 0.041229 , 0.057361 , 0.034894 , 0.057364 , 0.050299 , 0.041331 , 0.033284 , 0.03808 , 0.039297 , 0.046901 , 0.063682 , 0.046389 , 0.044208 , 0.055793 , 0.045718 , 0.053111 , 0.043327 , 0.043102 , 0.051079 , 0.039571 , 0.059528 , 0.045143 , 0.046419 , 0.045843 , 0.041323 , 0.053452 , 0.037509 , 0.04578 , 0.047966 , 0.053352 , 0.050315 , 0.04462 , 0.051355 , 0.063534 , 0.059373 , 0.056743 , 0.056103 , 0.041621 , 0.058742 , 0.042667 , 0.051578 , 0.053803 , 0.042216 , 0.05492 , 0.048174 , 0.058153 , 0.054922 , 0.042089 , 0.042842 , 0.054636 , 0.049841 , 0.0634 , 0.057141 , 0.052633 , 0.045441 , 0.05145 , 0.042753 , 0.059254 , 0.043015 , 0.038007 , 0.044843 , 0.065013 , 0.066588 , 0.036606 , 0.049552 , 0.054374 , 0.049504 , 0.045118 , 0.054636 , 0.046419 , 0.060317 , 0.04712 , 0.052112 , 0.048947 , 0.04 , 0.053809 , 0.047773 , 0.040467 , 0.056028 , 0.036835 , 0.051928 , 0.051623 , 0.043113 , 0.045352 , 0.053024 , 0.056727 , 0.051712 , 0.063075 , 0.047081 , 0.034619 
 325 , 0.027495 , 0.029671 , 0.02612 , 0.029325 , 0.030989 , 0.027221 , 0.023485 , 0.029883 , 0.022315 , 0.022294 , 0.03768 , 0.036836 , 0.028873 , 0.059032 , 0.019989 , 0.045322 , 0.033481 , 0.027862 , 0.030358 , 0.031288 , 0.031818 , 0.032017 , 0.03028 , 0.028214 , 0.027784 , 0.030812 , 0.02517 , 0.036053 , 0.029997 , 0.036107 , 0.030272 , 0.024454 , 0.030097 , 0.026764 , 0.033242 , 0.041742 , 0.031118 , 0.034991 , 0.034722 , 0.036923 , 0.037421 , 0.027821 , 0.025793 , 0.050838 , 0.040081 , 0.040032 , 0.044968 , 0.045901 , 0.041333 , 0.036062 , 0.036016 , 0.034662 , 0.048457 , 0.043736 , 0.037341 , 0.038913 , 0.041806 , 0.046842 , 0.039448 , 0.037272 , 0.033787 , 0.039285 , 0.040112 , 0.036574 , 0.03349 , 0.043831 , 0.053963 , 0.043475 , 0.049612 , 0.051469 , 0.039589 , 0.053875 , 0.032676 , 0.053959 , 0.047797 , 0.039021 , 0.033311 , 0.036316 , 0.036463 , 0.043868 , 0.061545 , 0.043941 , 0.041409 , 0.053591 , 0.043095 , 0.050471 , 0.04099 , 0.041238 , 0.048511 , 0.038261 , 0.056636 , 0.043512 , 0.044406 , 0.044 , 0.038876 , 0.051768 , 0.035398 , 0.043777 , 0.045863 , 0.049999 , 0.04716 , 0.043529 , 0.049123 , 0.059983 , 0.055694 , 0.053914 , 0.053957 , 0.039386 , 0.055466 , 0.040251 , 0.04888 , 0.051785 , 0.040194 , 0.052347 , 0.046062 , 0.05592 , 0.053055 , 0.04038 , 0.041419 , 0.051864 , 0.047097 , 0.060088 , 0.054668 , 0.051382 , 0.04322 , 0.048629 , 0.040891 , 0.056947 , 0.04129 , 0.035473 , 0.043346 , 0.062871 , 0.063215 , 0.035254 , 0.047694 , 0.052095 , 0.047529 , 0.042134 , 0.053241 , 0.045106 , 0.058484 , 0.046025 , 0.049262 , 0.046987 , 0.038618 , 0.051805 , 0.045459 , 0.038696 , 0.053547 , 0.035383 , 0.049598 , 0.049603 , 0.042104 , 0.043281 , 0.051275 , 0.05389 , 0.049105 , 0.061134 , 0.045255 , 0.032673 
