WSG1_00009.spu,WSG1_00008.spu,WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 761 , 0.210485 , 0.192808 , 0.19239 , 0.166898 , 0.164579 
 762 , 0.211399 , 0.193798 , 0.193279 , 0.167646 , 0.165304 
 763 , 0.212303 , 0.194789 , 0.194159 , 0.168385 , 0.166028 
 764 , 0.213289 , 0.1959 , 0.195132 , 0.169272 , 0.166814 
 765 , 0.214284 , 0.197087 , 0.19613 , 0.170266 , 0.167593 
 766 , 0.215195 , 0.198171 , 0.197035 , 0.171185 , 0.168306 
 767 , 0.216056 , 0.199184 , 0.19789 , 0.17204 , 0.168977 
 768 , 0.216918 , 0.200147 , 0.198753 , 0.172853 , 0.169641 
 769 , 0.217712 , 0.20105 , 0.199575 , 0.173605 , 0.170253 
 770 , 0.218472 , 0.201903 , 0.200353 , 0.174321 , 0.170836 
 771 , 0.219134 , 0.202663 , 0.201043 , 0.174904 , 0.17138 
 772 , 0.219825 , 0.203458 , 0.201758 , 0.175497 , 0.171974 
 773 , 0.220501 , 0.20424 , 0.202467 , 0.176077 , 0.172547 
 774 , 0.22109 , 0.204923 , 0.203108 , 0.176591 , 0.173068 
 775 , 0.221579 , 0.205501 , 0.20367 , 0.177032 , 0.173532 
 776 , 0.222072 , 0.206063 , 0.204235 , 0.177457 , 0.173989 
 777 , 0.222565 , 0.206628 , 0.204796 , 0.177896 , 0.174442 
 778 , 0.223119 , 0.207233 , 0.205345 , 0.178337 , 0.174898 
 779 , 0.223687 , 0.207875 , 0.205914 , 0.178799 , 0.175372 
 780 , 0.22426 , 0.208529 , 0.206479 , 0.179265 , 0.175849 
 781 , 0.224792 , 0.209161 , 0.206978 , 0.179698 , 0.176277 
 782 , 0.225299 , 0.209778 , 0.207469 , 0.180117 , 0.176681 
 783 , 0.225821 , 0.210411 , 0.20796 , 0.180553 , 0.177093 
 784 , 0.226327 , 0.211033 , 0.208437 , 0.180968 , 0.177512 
 785 , 0.226841 , 0.21163 , 0.208899 , 0.181375 , 0.177925 
 786 , 0.22736 , 0.212249 , 0.209369 , 0.18179 , 0.17835 
 787 , 0.227893 , 0.212858 , 0.209853 , 0.182213 , 0.178782 
 788 , 0.228391 , 0.213426 , 0.210328 , 0.182645 , 0.179176 
 789 , 0.228892 , 0.213995 , 0.210795 , 0.183068 , 0.179592 
 790 , 0.229413 , 0.214585 , 0.211276 , 0.183503 , 0.180021 
 791 , 0.229924 , 0.215181 , 0.211806 , 0.183933 , 0.180463 
 792 , 0.230415 , 0.21579 , 0.21233 , 0.184362 , 0.180886 
 793 , 0.230927 , 0.216404 , 0.212875 , 0.184796 , 0.181315 
 794 , 0.231503 , 0.217059 , 0.213408 , 0.185265 , 0.18174 
 795 , 0.232128 , 0.217728 , 0.21393 , 0.185735 , 0.182165 
 796 , 0.232763 , 0.218404 , 0.214449 , 0.186224 , 0.182591 
 797 , 0.233381 , 0.219077 , 0.214973 , 0.186703 , 0.183031 
 798 , 0.233909 , 0.219706 , 0.215477 , 0.187126 , 0.183477 
 799 , 0.234438 , 0.220327 , 0.215995 , 0.187555 , 0.183929 
 800 , 0.234983 , 0.220965 , 0.216523 , 0.187985 , 0.184382 
 801 , 0.235463 , 0.221572 , 0.21696 , 0.188391 , 0.184737 
 802 , 0.235888 , 0.222136 , 0.217348 , 0.188759 , 0.185056 
 803 , 0.236318 , 0.222722 , 0.217749 , 0.189132 , 0.185386 
 804 , 0.236684 , 0.223219 , 0.218093 , 0.18945 , 0.185699 
 805 , 0.23709 , 0.223737 , 0.218465 , 0.189803 , 0.186036 
 806 , 0.237538 , 0.224292 , 0.218869 , 0.19018 , 0.186398 
 807 , 0.237951 , 0.224798 , 0.219237 , 0.190512 , 0.186725 
 808 , 0.238281 , 0.2252 , 0.219517 , 0.190738 , 0.186976 
 809 , 0.238647 , 0.225648 , 0.219851 , 0.191003 , 0.187261 
 810 , 0.239034 , 0.226115 , 0.220211 , 0.19128 , 0.187559 
 811 , 0.239354 , 0.226536 , 0.220527 , 0.191535 , 0.187864 
 812 , 0.239635 , 0.226941 , 0.22078 , 0.191748 , 0.188137 
 813 , 0.239941 , 0.227369 , 0.221039 , 0.191977 , 0.188433 
