
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 381 , 0.09352 , 0.08912 , 0.108 , 0.10809 , 0.05331 , 0.07449 , 0.15934 , 0.14591 , 0.07317 , 0.0662 , 0.09826 , 0.1263 , 0.15195 , 0.17817 , 0.12943 , 0.1012 
 382 , 0.07854 , 0.07409 , 0.09134 , 0.09222 , 0.04534 , 0.06356 , 0.13585 , 0.12514 , 0.06314 , 0.05682 , 0.08418 , 0.10853 , 0.13074 , 0.15243 , 0.11073 , 0.08631 
 383 , 0.06147 , 0.05989 , 0.07288 , 0.07075 , 0.03491 , 0.04889 , 0.1054 , 0.09845 , 0.04883 , 0.04428 , 0.06569 , 0.08534 , 0.10315 , 0.12009 , 0.08667 , 0.06788 
 384 , 0.05003 , 0.05042 , 0.0605 , 0.05631 , 0.02789 , 0.039 , 0.08491 , 0.08044 , 0.03913 , 0.03579 , 0.05319 , 0.06961 , 0.08444 , 0.09824 , 0.07042 , 0.05541 
 385 , 0.04209 , 0.04384 , 0.0519 , 0.0463 , 0.023 , 0.03211 , 0.07068 , 0.0679 , 0.03237 , 0.02988 , 0.04447 , 0.05863 , 0.07138 , 0.08303 , 0.05909 , 0.04672 
 386 , 0.03634 , 0.03807 , 0.04467 , 0.04036 , 0.01989 , 0.02753 , 0.0602 , 0.05837 , 0.02778 , 0.02606 , 0.03844 , 0.05044 , 0.06147 , 0.07169 , 0.05118 , 0.0402 
 387 , 0.03217 , 0.0333 , 0.03885 , 0.0368 , 0.01789 , 0.02444 , 0.05251 , 0.05121 , 0.02463 , 0.02354 , 0.03422 , 0.04435 , 0.05403 , 0.06327 , 0.04559 , 0.03534 
 388 , 0.02914 , 0.02983 , 0.03463 , 0.03422 , 0.01643 , 0.02219 , 0.04693 , 0.04601 , 0.02233 , 0.0217 , 0.03115 , 0.03992 , 0.0486 , 0.05712 , 0.04151 , 0.0318 
 389 , 0.02652 , 0.02702 , 0.03126 , 0.03174 , 0.0151 , 0.02024 , 0.04243 , 0.04172 , 0.02036 , 0.02003 , 0.02845 , 0.03623 , 0.04412 , 0.05205 , 0.03805 , 0.02884 
 390 , 0.02343 , 0.02418 , 0.02806 , 0.02812 , 0.0133 , 0.01791 , 0.03797 , 0.03721 , 0.01805 , 0.01784 , 0.02518 , 0.03228 , 0.03942 , 0.04674 , 0.03415 , 0.02562 
 391 , 0.021 , 0.02195 , 0.02555 , 0.02528 , 0.01189 , 0.01607 , 0.03448 , 0.03366 , 0.01623 , 0.01611 , 0.0226 , 0.02917 , 0.03572 , 0.04256 , 0.03106 , 0.02309 
 392 , 0.01904 , 0.02016 , 0.02353 , 0.02298 , 0.01075 , 0.01459 , 0.03165 , 0.0308 , 0.01476 , 0.01471 , 0.02051 , 0.02665 , 0.03272 , 0.03917 , 0.02857 , 0.02104 
 393 , 0.01777 , 0.01903 , 0.02212 , 0.02162 , 0.00997 , 0.01354 , 0.02909 , 0.02876 , 0.01387 , 0.01394 , 0.0192 , 0.02484 , 0.03047 , 0.03659 , 0.02649 , 0.01973 
 394 , 0.01678 , 0.01816 , 0.021 , 0.02057 , 0.00935 , 0.01271 , 0.02697 , 0.02712 , 0.01319 , 0.01336 , 0.01817 , 0.02338 , 0.02866 , 0.03449 , 0.02477 , 0.01871 
 395 , 0.01597 , 0.01745 , 0.0201 , 0.01973 , 0.00885 , 0.01203 , 0.02525 , 0.02579 , 0.01264 , 0.01289 , 0.01734 , 0.0222 , 0.02719 , 0.03279 , 0.02338 , 0.01789 
 396 , 0.01526 , 0.01669 , 0.0191 , 0.01903 , 0.00838 , 0.01148 , 0.02393 , 0.0248 , 0.01213 , 0.01244 , 0.01653 , 0.02128 , 0.02605 , 0.03149 , 0.02237 , 0.01707 
 397 , 0.01458 , 0.01584 , 0.01798 , 0.01839 , 0.00791 , 0.01098 , 0.02287 , 0.02401 , 0.01161 , 0.01197 , 0.01567 , 0.02049 , 0.0251 , 0.03041 , 0.0216 , 0.01621 
 398 , 0.01404 , 0.01516 , 0.01708 , 0.01788 , 0.00754 , 0.01059 , 0.02203 , 0.02337 , 0.0112 , 0.01159 , 0.01499 , 0.01986 , 0.02434 , 0.02955 , 0.02098 , 0.01553 
 399 , 0.01362 , 0.01467 , 0.01642 , 0.01746 , 0.00726 , 0.01027 , 0.02135 , 0.02289 , 0.01088 , 0.01134 , 0.01448 , 0.01937 , 0.02374 , 0.02888 , 0.02049 , 0.01501 
 400 , 0.0134 , 0.01466 , 0.01642 , 0.01706 , 0.00721 , 0.01004 , 0.02087 , 0.0228 , 0.01078 , 0.01154 , 0.01441 , 0.01914 , 0.02338 , 0.02854 , 0.02016 , 0.01486 
 401 , 0.01322 , 0.01466 , 0.01641 , 0.01673 , 0.00716 , 0.00985 , 0.02047 , 0.02272 , 0.01069 , 0.0117 , 0.01434 , 0.01893 , 0.02307 , 0.02826 , 0.01989 , 0.01474 
 402 , 0.01306 , 0.01466 , 0.01641 , 0.01644 , 0.00712 , 0.00968 , 0.02013 , 0.02265 , 0.01061 , 0.01184 , 0.01429 , 0.01876 , 0.02281 , 0.02802 , 0.01966 , 0.01464 
